"商圈名稱","行政區","縣市",緯度,經度,"建議半徑","參考說明"
"西門町","萬華區","台北市",25.0422,121.5078,"500","https://www.travel.taipei/file/3235/"
"信義計畫區","信義區","台北市",25.0340,121.5645,"600","https://www.travel.taipei/file/3235/"
"東區","大安區","台北市",25.0417,121.5447,"500","https://today.line.me/tw/v2/article/wJl5zOp"
"南西商圈","中山區","台北市",25.0522,121.5202,"400","https://www.travel.taipei/file/3235/"
"士林夜市","士林區","台北市",25.0882,121.5250,"400","https://www.travel.taipei/file/3235/"
"公館","中正區","台北市",25.0143,121.5340,"400","https://www.travel.taipei/file/3235/"
"寧夏夜市","大同區","台北市",25.0574,121.5187,"300","寧夏夜市入口"
"迪化街","大同區","台北市",25.0562,121.5102,"400","https://www.travel.taipei/file/3235/"
"永康商圈","大安區","台北市",25.0338,121.5297,"300","永康街/信義路口"
"天母","士林區","台北市",25.1201,121.5283,"600","天母廣場"
"五分埔","信義區","台北市",25.0443,121.5786,"300","五分埔成衣商圈"
"饒河夜市","松山區","台北市",25.0506,121.5782,"300","饒河街夜市入口"
"板橋府中","板橋區","新北市",25.0103,121.4639,"500","https://www.economic.ntpc.gov.tw/ShoppingDistrict"
"新板特區","板橋區","新北市",25.0137,121.4726,"600","板橋車站為核心"
"三重三和夜市","三重區","新北市",25.0660,121.4923,"400","三和夜市入口"
"新莊廟街","新莊區","新北市",25.0374,121.4512,"400","新莊地藏庵/新莊路"
"林口三井OUTLET","林口區","新北市",25.0789,121.3897,"600","三井OUTLET園區"
"淡水老街","淡水區","新北市",25.1717,121.4399,"500","淡水捷運站/中正路"
"鶯歌老街","鶯歌區","新北市",24.9549,121.3535,"400","鶯歌火車站/重慶街"
"三峽老街","三峽區","新北市",24.9341,121.3704,"400","民權街/和平街"
"深坑老街","深坑區","新北市",24.9909,121.6161,"300","深坑街/北深路"
"中和緬甸街","中和區","新北市",25.0026,121.4967,"300","華新街"
"永和韓國街","永和區","新北市",25.0115,121.5159,"300","中興街"
"瑞芳九份","瑞芳區","新北市",25.1091,121.8457,"400","基山街/輕便路"
