城市,行政區,新住民人口數,新住民國中小學生數,新住民學生占該區國中小學生比率,中心點緯度,中心點經度,建議半徑(公尺)
台北市,松山區,4253,636,4.05,25.0505,121.5617,500
台北市,信義區,6383,871,7.06,25.0293,121.5767,500
台北市,大安區,6968,1148,4.09,25.0268,121.5430,500
台北市,中山區,6754,715,5.71,25.0685,121.5336,500
台北市,中正區,4110,441,3.44,25.0324,121.5199,500
台北市,大同區,3477,524,5.53,25.0631,121.5136,500
台北市,萬華區,8023,697,7.64,25.0352,121.4997,500
台北市,文山區,6665,1173,4.91,24.9937,121.5436,700
台北市,南港區,2934,367,5.21,25.0576,121.6086,600
台北市,內湖區,5726,923,4.41,25.0830,121.5756,700
台北市,士林區,6640,1135,5.81,25.0955,121.5249,700
台北市,北投區,5499,836,4.3,25.1375,121.5078,700
新北市,板橋區,14761,2545,5.69,25.0110,121.4637,700
新北市,中和區,13476,1626,6.9,24.9936,121.4872,700
新北市,三重區,11936,1784,6.89,25.0632,121.4931,700
新北市,新莊區,11330,2281,6.38,25.0375,121.4511,700
新北市,新店區,9286,1294,7.2,24.9771,121.5371,800
新北市,土城區,7452,1094,6.07,24.9824,121.4510,800
新北市,永和區,6097,963,4.69,25.0136,121.5136,600
新北市,汐止區,5611,853,7.58,25.0685,121.6589,900
新北市,樹林區,5428,1098,8.42,24.9953,121.4178,900
新北市,淡水區,5088,946,7.46,25.1676,121.4456,1000
新北市,蘆洲區,4678,967,6.2,25.0853,121.4842,600
新北市,林口區,3159,1033,6.69,25.0774,121.3977,900
新北市,五股區,2705,606,7.13,25.0911,121.4259,900
新北市,三峽區,3375,894,8.29,24.9343,121.3689,900
新北市,鶯歌區,2440,519,7.51,24.9549,121.3535,800
新北市,瑞芳區,1359,284,10.86,25.1107,121.8068,1000
新北市,泰山區,1962,422,6.96,25.0612,121.4256,700
新北市,八里區,1159,246,7.66,25.1460,121.4559,1000
新北市,金山區,507,104,11.47,25.2211,121.6362,1000
新北市,深坑區,700,127,11.48,24.9890,121.6161,900
新北市,石碇區,242,45,14.2,24.9913,121.6536,1000
新北市,坪林區,104,16,7.37,24.9367,121.7243,1200
新北市,三芝區,575,112,9.77,25.2567,121.5051,1000
新北市,萬里區,733,59,11.5,25.1799,121.6880,1200
新北市,石門區,277,38,14.96,25.2894,121.5409,1200
新北市,平溪區,153,14,14.14,25.0242,121.7383,1200
新北市,雙溪區,250,49,16.72,25.0360,121.8669,1200
新北市,貢寮區,369,72,18.18,25.0186,121.9171,1200
新北市,烏來區,102,11,4.53,24.8649,121.5519,1200
