餐廳名稱,地址,店長國籍,行政區,經度,緯度,縣市
細記港式麵包專賣店,105台北市松山區南京東路五段291巷6弄2號,香港,松山區,121.5658322,25.0518538,台北
印尼之家,臺北市松山區健康路327號,印尼,松山區,121.5674284,25.0545216,台北
玉莊越南河粉,南京東路五段250巷11號1樓,越南,松山區,121.5659006,25.0496631,台北
民福市場早餐店,民權東路103巷民福臨時自治市場內,中國大陸,松山區,121.589478,25.069512,台北
小琳涼麵河粉,南京東路4段133巷6弄3號,柬埔寨,松山區,121.5546859,25.0513931,台北
煌鑫美食店,八德路4段793號,越南,松山區,121.57855,25.0513135,台北
八方雲集鍋貼店(八德路3段221號),八德路3段221號,中國大陸,松山區,121.5568851,25.0482213,台北
依鼎越式美食,台北市信義區吳興街140號（捷運台北101世貿站走路五分鐘）,越南,信義區,121.5615055,25.0295838,台北
泰福泰式料理,松勤街2號,泰緬華僑,信義區,121.559694,25.0320102,台北
泰緬姊妹小館,&nbsp;吳興街112號,緬甸,信義區,121.5610192,25.0300596,台北
客家牛肉麵粄條,信義路5段150巷277號1樓,中國,信義區,121.5690195,25.0274549,台北
明亮越式小吃,虎林街132巷8號,越南,信義區,121.5766189,25.0404026,台北
香港仔茶水舖,黎平里崇德街22號,香港,信義區,121.5535699,25.0242469,台北
鄧家麵館小火鍋,台北市信義區松山路183號,越南,信義區,121.577989,25.045881,台北
和順鄉雲南特色素食,興雅里基隆路1段147巷5弄46號,中國大陸,信義區,121.5653136,25.0419415,台北
螺絲粉(桂林米粉),五全里永吉路278巷27弄15號,中國大陸,信義區,121.5747195,25.0446899,台北
象廚泰式料理,臺北市信義區基隆路1段147巷9號1樓,泰國,信義區,121.5653136,25.0419415,台北
武鼎越豐越南麵食館,永吉路30巷167弄2號,越南,信義區,121.5688201,25.0418189,台北
溫州鮮餛飩,信義路4段395巷6弄13號,中國大陸,信義區,121.5590792,25.0337851,台北
356美食館,信義路4段395巷6弄11號,越南,信義區,121.5590162,25.0337795,台北
瑞麟美而美早餐店,基隆路1段83巷24號,越南,信義區,121.5653136,25.0419415,台北
Atithi indian restaurant & bar,台北市大安區和平東路三段34號,印度,大安區,121.5475791,25.0243827,台北
吉字雲南美饌,台北市大安區瑞安街75號（安東市場內攤位146）,中國,大安區,121.5411623,25.028225,台北
京北越南河粉麵包,台北市大安區信義路三段192號1樓,越南,大安區,121.543012,25.0331905,台北
小四川 手工水餃麵食館,台北市大安區濟南路三段65-1號,中國,大安區,121.5369455,25.0403034,台北
麗江南洋麵食館,台北市大安區龍泉里雲和街51號,緬甸（雲南華僑）,大安區,121.5290351,25.0236618,台北
